LoanID,CustomerID,BranchID,LoanType,ApplicationDate,ApprovalDate,PrincipalAmount,OutstandingBalance,InterestRate,LoanTermMonths,MonthlyPayment,LoanStatus,RiskRating,DaysPastDue
L0000223,C001971,B0010,Vehicle Finance,2025-05-14,2025-05-22,420790,332424.1,0.184,60,10777.07,Current,High,0
L0000224,C000060,B0045,Vehicle Finance,2026-04-06,2026-04-10,436825,420444.06,0.157,72,9403.53,Defaulted,Medium,90
L0000225,C001111,B0060,Personal Loan,2025-05-16,2025-05-18,49693,39257.47,0.229,60,1398.02,Current,Low,0
L0000226,C001820,B0025,Personal Loan,2023-04-20,2023-04-26,235135,23513.5,0.229,36,9089.76,Current,Low,0
L0000227,C000806,B0023,Vehicle Finance,2023-11-10,2023-11-15,507938,304762.8,0.157,72,10934.38,Current,Medium,0
L0000228,C000500,B0017,Home Loan,2025-09-26,2025-10-06,1351107,1305507.14,0.1305,240,15877.39,Current,Medium,0
L0000229,C000832,B0020,Personal Loan,2026-06-30,2026-07-03,135377,135377.0,0.247,36,5361.11,Current,Medium,0
L0000230,C001944,B0032,Business Loan,2025-10-09,2025-10-13,726835,563297.12,0.165,36,25733.14,Current,Low,0
L0000231,C001968,B0025,Home Loan,2026-05-11,2026-05-17,1032349,1022025.51,0.1125,180,11896.22,Current,Low,0
L0000232,C000139,B0022,Personal Loan,2026-06-05,2026-06-12,258067,248389.49,0.229,24,13503.01,Current,Low,0
L0000233,C001949,B0039,Personal Loan,2025-09-10,2025-09-19,153016,124325.5,0.274,48,5280.53,Current,High,0
L0000234,C000881,B0035,Personal Loan,2024-06-01,2024-06-08,40264,25165.0,0.247,60,1174.73,Current,Medium,0
L0000235,C001288,B0011,Vehicle Finance,2026-05-06,2026-05-11,202180,197125.5,0.139,72,4155.25,Current,Low,0
L0000236,C001683,B0027,Home Loan,2025-04-18,2025-04-24,1551813,1377234.04,0.1125,120,21596.42,Current,Low,0
L0000237,C000732,B0010,Vehicle Finance,2024-07-18,2024-07-18,321081,205491.84,0.139,60,7454.36,Current,Low,0
L0000238,C001443,B0057,Business Loan,2026-02-01,2026-02-07,272098,246588.81,0.183,48,8035.6,Current,Medium,0
L0000239,C000846,B0059,Personal Loan,2024-09-12,2024-09-21,195660,19566.0,0.274,12,18824.97,Current,High,0
L0000240,C001966,B0041,Home Loan,2025-11-26,2025-11-27,1066814,1024141.44,0.1305,180,13532.9,Current,Medium,0
L0000241,C000884,B0015,Personal Loan,2024-05-11,2024-05-17,41969,25601.09,0.247,60,1224.48,Current,Medium,0
L0000242,C001836,B0033,Credit Facility,2026-02-24,2026-02-24,216966,176284.88,0.216,24,11212.98,Current,Medium,0
L0000243,C001020,B0045,Personal Loan,2025-10-18,2025-10-26,10452,9040.98,0.247,60,304.94,Current,Medium,0
L0000244,C001099,B0049,Vehicle Finance,2026-02-14,2026-02-22,437095,396117.34,0.157,48,12320.34,Current,Medium,0
L0000245,C000495,B0002,Vehicle Finance,2025-11-28,2025-11-29,447613,380471.05,0.139,48,12209.24,Current,Low,0
L0000246,C000800,B0005,Personal Loan,2025-11-21,2025-11-22,219646,175716.8,0.229,36,8490.99,Current,Low,0
L0000247,C000687,B0026,Personal Loan,2023-10-10,2023-10-20,69795,35246.47,0.229,60,1963.55,Current,Low,0
L0000248,C001950,B0012,Personal Loan,2025-07-22,2025-07-28,328004,180402.2,0.229,24,17162.37,Current,Low,0
L0000249,C000469,B0037,Home Loan,2026-04-12,2026-04-18,958766,947979.88,0.1575,240,13159.39,Current,High,0
L0000250,C001222,B0040,Home Loan,2026-01-13,2026-01-16,1216702,1161950.41,0.1125,120,16932.71,Current,Low,0
L0000251,C001298,B0038,Vehicle Finance,2024-02-28,2024-03-01,348554,165563.15,0.157,48,9824.65,Current,Medium,0
L0000252,C000021,B0032,Home Loan,2026-06-12,2026-06-22,1488198,1477036.52,0.1575,120,24697.91,Current,High,0
L0000253,C000126,B0050,Home Loan,2025-08-28,2025-08-29,1599580,1467614.65,0.1125,120,22261.19,Current,Low,0
L0000254,C001116,B0047,Credit Facility,2024-07-04,2024-07-13,186277,18627.7,0.198,12,17237.85,Current,Low,0
L0000255,C001511,B0012,Personal Loan,2023-07-08,2023-07-11,246891,24689.1,0.247,36,9777.21,Current,Medium,0
L0000256,C000823,B0047,Business Loan,2026-03-25,2026-04-04,938455,832878.81,0.183,24,46987.67,Current,Medium,0
L0000257,C001480,B0021,Personal Loan,2025-12-28,2025-12-29,195432,161231.4,0.247,36,7739.37,In Arrears,Medium,45
L0000258,C001885,B0027,Vehicle Finance,2026-05-10,2026-05-15,690967,665055.74,0.139,48,18847.05,Current,Low,0
L0000259,C001059,B0003,Home Loan,2025-05-29,2025-06-08,2019856,1921388.02,0.1305,240,23736.13,Current,Medium,0
L0000260,C001820,B0024,Vehicle Finance,2025-12-10,2025-12-11,445145,386719.72,0.139,48,12141.93,Current,Low,0
L0000261,C001707,B0013,Vehicle Finance,2024-03-27,2024-03-27,684555,397041.9,0.139,60,15892.93,Current,Low,0
L0000262,C000902,B0010,Personal Loan,2026-06-18,2026-06-25,9355,9214.67,0.247,60,272.94,Current,Medium,0
L0000263,C001587,B0045,Credit Facility,2025-05-26,2025-06-03,117360,11736.0,0.216,12,10961.66,Current,Medium,0
L0000264,C001101,B0035,Personal Loan,2024-08-28,2024-09-07,165808,74613.6,0.247,36,6566.22,Current,Medium,0
L0000265,C001860,B0018,Vehicle Finance,2025-04-23,2025-04-27,435002,337126.55,0.139,60,10099.2,In Arrears,Low,30
L0000266,C000686,B0021,Home Loan,2026-06-16,2026-06-25,798369,792381.23,0.1305,120,11944.06,Current,Medium,0
L0000267,C001736,B0015,Vehicle Finance,2023-02-10,2023-02-12,400209,154080.46,0.139,60,9291.43,Current,Low,0
L0000268,C000296,B0002,Vehicle Finance,2024-12-04,2024-12-05,113311,86399.64,0.139,72,2328.79,Current,Low,0
L0000269,C000670,B0034,Personal Loan,2023-01-27,2023-02-03,281659,108438.71,0.229,60,7923.93,Current,Low,0
L0000270,C001847,B0012,Credit Facility,2026-05-02,2026-05-03,151808,140422.4,0.216,24,7845.56,Current,Medium,0
L0000271,C001684,B0004,Personal Loan,2025-01-01,2025-01-03,160684,16068.4,0.229,12,15108.81,Current,Low,0
L0000272,C000371,B0018,Business Loan,2026-05-03,2026-05-12,757068,734355.96,0.165,60,18612.15,Current,Low,0
L0000273,C000184,B0035,Credit Facility,2025-11-13,2025-11-15,203345,142341.5,0.216,24,10509.04,Current,Medium,0
L0000274,C000313,B0012,Home Loan,2025-06-15,2025-06-25,1919812,1795024.22,0.1125,180,22122.85,Current,Low,0
L0000275,C001655,B0007,Personal Loan,2023-10-21,2023-10-28,166577,16657.7,0.229,24,8715.92,Current,Low,0
L0000276,C001303,B0038,Personal Loan,2024-11-08,2024-11-18,228006,57001.5,0.247,24,12134.73,Current,Medium,0
L0000277,C000880,B0022,Personal Loan,2023-03-12,2023-03-14,63858,25543.2,0.229,60,1796.52,Current,Low,0
L0000278,C000719,B0044,Vehicle Finance,2025-02-28,2025-03-09,391312,313049.6,0.139,72,8042.33,Current,Low,0
L0000279,C001595,B0028,Home Loan,2025-09-07,2025-09-15,2042538,1965942.82,0.1305,240,24002.67,Defaulted,Medium,90
L0000280,C001092,B0008,Home Loan,2025-12-02,2025-12-09,518239,504635.23,0.1575,240,7113.01,Current,High,0
L0000281,C000351,B0006,Vehicle Finance,2025-04-23,2025-04-25,676721,549835.81,0.157,72,14567.78,Current,Medium,0
L0000282,C001996,B0024,Personal Loan,2026-05-26,2026-05-31,279651,265668.45,0.247,36,11074.55,Current,Medium,0
L0000283,C000654,B0058,Vehicle Finance,2026-04-07,2026-04-16,532568,512596.7,0.157,72,11464.59,Current,Medium,0
L0000284,C001103,B0059,Credit Facility,2024-10-05,2024-10-13,129528,61525.8,0.198,36,4800.54,Current,Low,0
L0000285,C000146,B0002,Vehicle Finance,2023-04-21,2023-04-24,124273,51573.29,0.157,60,3002.3,Current,Medium,0
L0000286,C000273,B0060,Personal Loan,2025-12-20,2025-12-23,216936,188463.15,0.229,48,6941.24,Current,Low,0
L0000287,C001870,B0005,Vehicle Finance,2026-01-23,2026-01-26,116118,105667.38,0.139,60,2695.85,Current,Low,0
L0000288,C001983,B0029,Business Loan,2026-05-09,2026-05-19,638717,590813.22,0.165,24,31426.38,Current,Low,0
L0000289,C001654,B0012,Vehicle Finance,2026-04-04,2026-04-07,283473,270716.71,0.139,60,6581.23,Current,Low,0
L0000290,C000340,B0022,Home Loan,2026-02-28,2026-03-06,2202672,2158618.56,0.1305,180,27941.64,Current,Medium,0
L0000291,C001520,B0023,Home Loan,2026-04-09,2026-04-16,430375,425533.28,0.1575,240,5907.04,Current,High,0
L0000292,C000686,B0034,Home Loan,2022-10-14,2022-10-23,2261438,1752614.45,0.1305,180,28687.11,Current,Medium,0
L0000293,C000534,B0049,Personal Loan,2026-06-20,2026-06-30,293498,289095.53,0.229,60,8256.99,Defaulted,Low,90
L0000294,C001146,B0053,Home Loan,2026-06-08,2026-06-18,1257153,1247724.35,0.1125,120,17495.67,Current,Low,0
L0000295,C000100,B0049,Credit Facility,2025-11-25,2025-12-02,88472,72989.4,0.198,36,3278.93,Current,Low,0
L0000296,C001658,B0037,Credit Facility,2026-06-04,2026-06-04,136389,132979.27,0.198,36,5054.82,Current,Low,0
L0000297,C001860,B0039,Credit Facility,2026-05-18,2026-05-27,197476,182665.3,0.198,24,10031.42,Current,Low,0
L0000298,C000865,B0018,Vehicle Finance,2024-11-13,2024-11-13,309124,231843.0,0.157,72,6654.51,Current,Medium,0
L0000299,C000256,B0045,Vehicle Finance,2023-10-25,2023-10-28,678437,398581.74,0.139,72,13943.39,Current,Low,0
L0000300,C000936,B0027,Personal Loan,2025-10-31,2025-11-01,70504,62043.52,0.229,60,1983.49,Current,Low,0
L0000301,C000661,B0057,Personal Loan,2026-05-25,2026-05-31,5712,5540.64,0.247,60,166.65,Current,Medium,0
L0000302,C000676,B0005,Business Loan,2026-05-04,2026-05-07,456480,439362.0,0.183,48,13480.77,Current,Medium,0
L0000303,C000224,B0026,Home Loan,2026-01-01,2026-01-02,1896683,1839782.51,0.1125,180,21856.32,Current,Low,0
L0000304,C000451,B0010,Personal Loan,2025-08-26,2025-09-01,170002,144501.7,0.229,60,4782.67,Current,Low,0
L0000305,C000635,B0006,Credit Facility,2026-06-11,2026-06-19,153938,142392.65,0.198,12,14245.24,Current,Low,0
L0000306,C000458,B0035,Personal Loan,2026-02-10,2026-02-17,343288,317541.4,0.247,60,10015.67,Current,Medium,0
L0000307,C001965,B0045,Personal Loan,2026-04-11,2026-04-16,248876,237676.58,0.229,60,7001.64,Current,Low,0
L0000308,C000491,B0047,Business Loan,2026-05-31,2026-06-04,210400,202510.0,0.183,24,10534.55,Current,Medium,0
L0000309,C001163,B0036,Personal Loan,2023-04-23,2023-04-24,59080,5908.0,0.247,24,3144.3,Current,Medium,0
L0000310,C001692,B0053,Personal Loan,2026-03-28,2026-04-03,201743,186612.28,0.247,36,7989.29,Current,Medium,0
L0000311,C001893,B0030,Personal Loan,2025-04-05,2025-04-13,113340,49586.25,0.247,24,6032.08,Current,Medium,0
L0000312,C000084,B0012,Personal Loan,2023-08-05,2023-08-07,227710,78275.31,0.229,48,7285.97,Current,Low,0
L0000313,C001354,B0023,Home Loan,2025-06-29,2025-07-02,1660132,1560524.08,0.1125,180,19130.44,Current,Low,0
L0000314,C001872,B0002,Personal Loan,2026-03-29,2026-03-31,242477,224291.23,0.229,48,7758.47,Current,Low,0
L0000315,C000952,B0010,Home Loan,2026-01-24,2026-01-25,394033,376301.51,0.1575,120,6539.31,Current,High,0
L0000316,C000073,B0034,Personal Loan,2026-05-02,2026-05-07,145422,134515.35,0.229,24,7609.01,Current,Low,0
L0000317,C001831,B0021,Home Loan,2025-12-12,2025-12-19,630550,597446.12,0.1575,120,10464.51,Current,High,0
L0000318,C001755,B0053,Personal Loan,2024-05-22,2024-05-31,258122,25812.2,0.229,24,13505.89,Current,Low,0
L0000319,C001804,B0046,Personal Loan,2025-06-28,2025-07-04,235946,129770.3,0.229,24,12345.56,Current,Low,0
L0000320,C000201,B0047,Credit Facility,2024-10-22,2024-10-27,101070,21477.38,0.216,24,5223.38,Current,Medium,0
L0000321,C000109,B0011,Personal Loan,2024-06-28,2024-06-29,168332,63124.5,0.247,36,6666.17,Current,Medium,0
L0000322,C001394,B0014,Vehicle Finance,2025-11-09,2025-11-19,293637,249591.45,0.139,48,8009.34,Current,Low,0
L0000323,C000026,B0011,Credit Facility,2026-03-20,2026-03-30,72326,61477.1,0.216,24,3737.87,Current,Medium,0
L0000324,C000506,B0024,Personal Loan,2024-10-29,2024-11-01,238324,166826.8,0.229,60,6704.78,Current,Low,0
L0000325,C000381,B0013,Vehicle Finance,2024-06-20,2024-06-21,306184,210501.5,0.139,72,6292.76,Current,Low,0
L0000326,C000224,B0029,Home Loan,2026-04-07,2026-04-15,512891,507120.98,0.1125,240,5381.54,Current,Low,0
L0000327,C000826,B0047,Vehicle Finance,2024-02-19,2024-02-21,517726,330050.32,0.157,72,11145.09,Current,Medium,0
L0000328,C000232,B0001,Credit Facility,2025-10-26,2025-10-31,24658,19109.95,0.216,36,936.61,Current,Medium,0
L0000329,C001427,B0016,Credit Facility,2024-08-31,2024-09-03,44303,4430.3,0.198,12,4099.75,Current,Low,0
L0000330,C001918,B0016,Personal Loan,2026-05-23,2026-05-23,128597,124739.09,0.229,60,3617.83,Current,Low,0
L0000331,C000040,B0027,Credit Facility,2025-11-14,2025-11-14,105336,84268.8,0.198,36,3903.94,Current,Low,0
L0000332,C001440,B0017,Personal Loan,2025-05-16,2025-05-26,213234,138602.1,0.229,36,8243.12,In Arrears,Low,30
L0000333,C000911,B0054,Credit Facility,2024-08-05,2024-08-13,125145,17207.44,0.198,24,6357.13,Current,Low,0
L0000334,C000269,B0049,Personal Loan,2026-05-19,2026-05-26,23482,19959.7,0.229,12,2207.97,Current,Low,0
L0000335,C000546,B0013,Personal Loan,2026-06-20,2026-06-22,226626,218127.52,0.247,24,12061.29,Current,Medium,0
L0000336,C001509,B0051,Personal Loan,2024-06-25,2024-06-29,89945,56215.62,0.229,60,2530.43,Current,Low,0
L0000337,C001212,B0053,Home Loan,2026-05-05,2026-05-14,1079751,1063554.73,0.1125,120,15026.78,In Arrears,Low,60
L0000338,C001009,B0010,Business Loan,2025-10-05,2025-10-08,937276,726388.9,0.183,36,34025.99,Current,Medium,0
L0000339,C000356,B0050,Home Loan,2023-12-24,2024-01-01,1665208,1477872.1,0.1575,240,22855.54,Current,High,0
L0000340,C000625,B0015,Business Loan,2026-03-28,2026-04-02,1163190,1097760.56,0.165,48,33263.76,Current,Low,0
L0000341,C000993,B0038,Vehicle Finance,2026-06-30,2026-07-01,246181,246181.0,0.139,72,5059.57,Current,Low,0
L0000342,C001833,B0037,Vehicle Finance,2024-01-22,2024-02-01,441346,201364.11,0.184,48,13056.97,Current,High,0
L0000343,C000683,B0002,Home Loan,2025-12-23,2025-12-23,1665892,1578432.67,0.1125,120,23184.04,Current,Low,0
L0000344,C001852,B0025,Home Loan,2025-04-07,2025-04-14,1389437,1285229.23,0.1125,180,16011.1,Current,Low,0
L0000345,C000368,B0034,Personal Loan,2024-01-01,2024-01-07,128085,70446.75,0.274,60,3941.8,Current,High,0
L0000346,C001051,B0025,Credit Facility,2026-04-09,2026-04-15,211666,187853.57,0.198,24,10752.24,Current,Low,0
L0000347,C001510,B0043,Home Loan,2025-12-18,2025-12-19,665057,647599.25,0.1305,240,7815.35,Current,Medium,0
L0000348,C000750,B0049,Vehicle Finance,2025-06-11,2025-06-13,203785,170669.94,0.157,72,4386.88,Current,Medium,0
L0000349,C000352,B0008,Personal Loan,2025-01-25,2025-01-25,222408,162357.84,0.229,60,6257.01,Current,Low,0
L0000350,C000245,B0049,Personal Loan,2025-09-29,2025-10-02,248677,164748.51,0.229,24,13011.69,Current,Low,0
L0000351,C001612,B0045,Vehicle Finance,2023-07-26,2023-07-26,144965,66683.9,0.157,60,3502.2,Current,Medium,0
L0000352,C001432,B0032,Personal Loan,2024-10-05,2024-10-06,238249,163200.57,0.247,60,6951.08,Current,Medium,0
L0000353,C000737,B0047,Vehicle Finance,2025-10-28,2025-10-31,339621,282309.96,0.139,48,9263.62,Current,Low,0
L0000354,C000100,B0049,Personal Loan,2024-10-04,2024-10-14,220325,104654.38,0.229,36,8517.24,Current,Low,0
L0000355,C001120,B0055,Personal Loan,2026-05-03,2026-05-06,204415,198282.55,0.229,60,5750.82,Current,Low,0
L0000356,C000147,B0011,Personal Loan,2026-06-04,2026-06-04,198220,193264.5,0.229,36,7662.71,In Arrears,Low,45
L0000357,C001207,B0030,Personal Loan,2025-08-14,2025-08-17,56362,44737.34,0.247,48,1859.38,Current,Medium,0
L0000358,C000068,B0012,Personal Loan,2024-08-15,2024-08-25,310676,42717.95,0.247,24,16534.52,Current,Medium,0
L0000359,C001633,B0008,Credit Facility,2026-02-01,2026-02-05,173819,152091.62,0.198,36,6442.04,Current,Low,0
L0000360,C001076,B0030,Personal Loan,2024-08-15,2024-08-17,337328,143364.4,0.247,36,13358.64,Current,Medium,0
L0000361,C000881,B0020,Home Loan,2025-09-12,2025-09-14,1083955,1043306.69,0.1305,240,12737.98,Current,Medium,0
L0000362,C000886,B0028,Business Loan,2025-10-20,2025-10-26,252770,167460.12,0.165,24,12436.88,Current,Low,0
L0000363,C000210,B0032,Vehicle Finance,2026-05-19,2026-05-29,348907,338439.79,0.157,60,8429.23,Current,Medium,0
L0000364,C000951,B0042,Personal Loan,2025-09-29,2025-10-03,340322,294378.53,0.229,60,9574.29,Current,Low,0
L0000365,C001764,B0002,Business Loan,2025-01-07,2025-01-09,998910,549400.5,0.165,36,35365.79,Current,Low,0
L0000366,C001725,B0056,Vehicle Finance,2025-11-29,2025-11-30,478368,430531.2,0.139,72,9831.53,Current,Low,0
L0000367,C000046,B0012,Home Loan,2026-06-26,2026-07-02,804483,804483.0,0.1125,180,9270.42,Current,Low,0
L0000368,C001831,B0040,Credit Facility,2025-06-09,2025-06-10,92057,62138.48,0.243,36,3626.18,Defaulted,High,90
L0000369,C000768,B0024,Personal Loan,2025-09-10,2025-09-19,78126,66407.1,0.229,60,2197.92,In Arrears,Low,15
L0000370,C001560,B0029,Home Loan,2025-08-25,2025-08-28,954614,875858.34,0.1305,120,14281.58,In Arrears,Medium,30
L0000371,C000106,B0009,Vehicle Finance,2026-05-03,2026-05-07,499511,484525.67,0.157,60,12067.66,Current,Medium,0
L0000372,C001513,B0047,Vehicle Finance,2025-01-24,2025-01-25,93060,67933.8,0.157,60,2248.23,Current,Medium,0
L0000373,C000144,B0005,Credit Facility,2025-03-17,2025-03-21,140264,84158.4,0.198,36,5198.43,Current,Low,0
L0000374,C000329,B0051,Personal Loan,2025-01-01,2025-01-01,108518,10851.8,0.247,12,10298.22,Current,Medium,0
L0000375,C000730,B0004,Personal Loan,2025-10-25,2025-11-03,156522,133043.7,0.229,48,5008.19,Current,Low,0
L0000376,C000220,B0034,Personal Loan,2026-05-14,2026-05-23,13794,13380.18,0.229,60,388.07,Current,Low,0
L0000377,C000671,B0005,Personal Loan,2024-05-18,2024-05-23,69342,6934.2,0.229,24,3628.23,Current,Low,0
L0000378,C001699,B0011,Vehicle Finance,2023-12-05,2023-12-13,612832,256623.4,0.139,48,16715.81,Current,Low,0
L0000379,C001608,B0015,Credit Facility,2025-04-26,2025-04-28,225445,22544.5,0.216,12,21057.01,Current,Medium,0
L0000380,C001751,B0020,Credit Facility,2025-08-16,2025-08-17,222817,161542.32,0.198,36,8257.99,Current,Low,0
L0000381,C001744,B0019,Personal Loan,2026-03-13,2026-03-13,84218,75796.2,0.247,36,3335.14,Current,Medium,0
L0000382,C000541,B0059,Personal Loan,2025-06-02,2025-06-02,156460,125950.3,0.229,60,4401.7,Current,Low,0
L0000383,C000351,B0005,Home Loan,2026-02-10,2026-02-18,2444960,2353274.0,0.1305,120,36578.02,Current,Medium,0
L0000384,C001203,B0025,Personal Loan,2025-11-11,2025-11-17,257912,180538.4,0.229,24,13494.9,Current,Low,0
L0000385,C000365,B0045,Home Loan,2023-07-30,2023-08-09,1266995,934408.81,0.1125,120,17632.64,Current,Low,0
L0000386,C000240,B0006,Personal Loan,2023-10-05,2023-10-11,125553,47867.08,0.229,48,4017.28,In Arrears,Low,15
L0000387,C000578,B0022,Vehicle Finance,2025-10-27,2025-10-31,307856,255905.3,0.139,48,8397.18,Current,Low,0
L0000388,C001308,B0010,Home Loan,2026-02-18,2026-02-26,1693284,1661534.92,0.1125,240,17766.88,Current,Low,0
L0000389,C001852,B0025,Credit Facility,2025-12-02,2025-12-09,36153,17172.67,0.198,12,3345.56,Current,Low,0
L0000390,C000283,B0033,Vehicle Finance,2026-03-30,2026-04-09,335853,320739.61,0.157,60,8113.85,Current,Medium,0
L0000391,C000052,B0042,Credit Facility,2024-08-16,2024-08-22,121218,16667.47,0.243,24,6427.09,Current,High,0
L0000392,C001336,B0048,Personal Loan,2026-05-15,2026-05-21,55650,53563.12,0.274,48,1920.46,Current,High,0
L0000393,C000980,B0028,Business Loan,2024-03-25,2024-04-04,331180,197052.1,0.165,60,8141.9,Current,Low,0
L0000394,C000277,B0055,Home Loan,2026-02-26,2026-03-03,1696719,1662784.62,0.1125,180,19552.05,Current,Low,0
L0000395,C001182,B0060,Personal Loan,2025-10-15,2025-10-17,340937,264226.17,0.247,36,13501.56,Current,Medium,0
L0000396,C000873,B0017,Business Loan,2025-02-13,2025-02-16,1148455,660361.62,0.165,36,40660.34,Current,Low,0
L0000397,C001477,B0035,Personal Loan,2026-04-21,2026-04-26,20294,18010.92,0.229,24,1061.86,Current,Low,0
L0000398,C000579,B0007,Home Loan,2025-03-03,2025-03-09,715207,672294.58,0.1125,240,7504.35,Current,Low,0
L0000399,C000515,B0013,Credit Facility,2026-06-14,2026-06-24,11398,11113.05,0.243,36,448.97,Current,High,0
L0000400,C000727,B0058,Personal Loan,2025-08-28,2025-08-28,155461,112709.22,0.274,36,6380.14,Current,High,0
L0000401,C001966,B0037,Personal Loan,2025-04-04,2025-04-09,251941,195254.27,0.247,60,7350.56,Current,Medium,0
L0000402,C001371,B0023,Personal Loan,2026-06-05,2026-06-09,115847,112950.82,0.229,36,4478.37,In Arrears,Low,15
L0000403,C001254,B0022,Personal Loan,2026-01-10,2026-01-14,173980,95689.0,0.247,12,16510.47,Current,Medium,0
L0000404,C001439,B0013,Vehicle Finance,2025-11-16,2025-11-26,453152,385179.2,0.139,48,12360.33,Current,Low,0
L0000405,C000371,B0014,Personal Loan,2026-05-09,2026-05-09,52968,50981.7,0.229,48,1694.8,Current,Low,0
L0000406,C001626,B0047,Home Loan,2025-05-28,2025-06-07,872846,787743.52,0.1305,120,13058.28,In Arrears,Medium,15
L0000407,C001480,B0007,Vehicle Finance,2025-10-29,2025-11-04,145027,130524.3,0.157,72,3122.0,Current,Medium,0
L0000408,C001214,B0002,Personal Loan,2024-08-23,2024-08-23,229632,150408.96,0.229,60,6460.25,Current,Low,0
L0000409,C001554,B0016,Vehicle Finance,2025-07-12,2025-07-14,209299,171625.18,0.157,60,5056.44,Current,Medium,0
L0000410,C001339,B0002,Personal Loan,2024-10-18,2024-10-25,158009,108236.17,0.274,60,4862.7,Current,High,0
L0000411,C000926,B0051,Vehicle Finance,2025-11-07,2025-11-17,281700,239445.0,0.139,48,7683.74,Current,Low,0
L0000412,C000170,B0034,Credit Facility,2024-01-03,2024-01-10,115402,11540.2,0.198,24,5862.21,Current,Low,0
L0000413,C001723,B0041,Home Loan,2023-11-24,2023-11-24,1974041,1658194.44,0.1575,180,28649.41,Current,High,0
L0000414,C001747,B0005,Personal Loan,2026-05-24,2026-05-28,348797,322637.23,0.229,24,18250.34,In Arrears,Low,15
L0000415,C001943,B0002,Home Loan,2025-02-28,2025-03-03,2030835,1868368.2,0.1575,180,29473.67,In Arrears,High,15
L0000416,C000820,B0017,Vehicle Finance,2026-04-22,2026-04-27,256930,247295.12,0.139,72,5280.48,Current,Low,0
L0000417,C000319,B0009,Personal Loan,2025-03-27,2025-03-28,214382,162930.32,0.247,60,6254.75,Current,Medium,0
L0000418,C001712,B0044,Personal Loan,2025-12-04,2025-12-09,176610,145703.25,0.247,36,6993.99,Current,Medium,0
L0000419,C001385,B0008,Home Loan,2025-07-04,2025-07-08,2340553,2200119.82,0.1575,180,33968.63,In Arrears,High,30
L0000420,C000826,B0008,Vehicle Finance,2022-08-30,2022-09-06,446916,61450.95,0.157,48,12597.16,Current,Medium,0
L0000421,C000915,B0047,Home Loan,2022-07-15,2022-07-21,1630600,1043584.0,0.1125,120,22692.89,Current,Low,0
L0000422,C000844,B0028,Personal Loan,2025-03-09,2025-03-15,87360,34944.0,0.229,24,4571.0,Current,Low,0
L0000423,C000768,B0008,Home Loan,2023-12-11,2023-12-13,1887974,1449020.04,0.1125,120,26274.74,Current,Low,0
L0000424,C001238,B0013,Credit Facility,2023-10-11,2023-10-17,88082,8808.2,0.216,12,8227.03,Current,Medium,0
L0000425,C001901,B0030,Home Loan,2023-07-15,2023-07-17,2027827,1480313.71,0.1125,120,28221.05,Current,Low,0
L0000426,C000689,B0017,Credit Facility,2026-06-13,2026-06-15,241712,235669.2,0.216,36,9181.15,Current,Medium,0
L0000427,C001236,B0038,Personal Loan,2025-02-20,2025-02-28,243035,88100.19,0.229,24,12716.48,Current,Low,0
L0000428,C001921,B0041,Personal Loan,2024-08-24,2024-09-01,101776,59793.4,0.229,48,3256.5,Current,Low,0
L0000429,C001053,B0048,Personal Loan,2024-10-05,2024-10-06,109080,51813.0,0.229,36,4216.77,Current,Low,0
L0000430,C000251,B0040,Personal Loan,2023-09-26,2023-10-05,301206,30120.6,0.229,24,15760.2,Current,Low,0
L0000431,C000542,B0044,Personal Loan,2025-06-04,2025-06-06,19237,15485.78,0.274,60,592.02,Current,High,0
L0000432,C001728,B0041,Vehicle Finance,2023-08-14,2023-08-16,469117,222830.57,0.139,60,10891.23,Current,Low,0
L0000433,C001927,B0019,Personal Loan,2025-07-07,2025-07-08,142178,14217.8,0.247,12,13492.5,In Arrears,Medium,30
L0000434,C000824,B0053,Home Loan,2026-06-18,2026-06-28,840484,834180.37,0.1125,120,11696.93,Current,Low,0
L0000435,C000732,B0016,Personal Loan,2024-05-25,2024-05-30,201228,20122.8,0.229,24,10528.99,Current,Low,0
L0000436,C000217,B0047,Credit Facility,2026-03-03,2026-03-08,154895,131660.75,0.216,24,8005.1,Current,Medium,0
L0000437,C001466,B0020,Personal Loan,2025-07-31,2025-07-31,69860,48902.0,0.229,36,2700.62,Current,Low,0
L0000438,C001429,B0005,Personal Loan,2025-06-18,2025-06-25,128547,97213.67,0.229,48,4113.08,Current,Low,0
L0000439,C000530,B0029,Vehicle Finance,2025-03-18,2025-03-21,363823,291058.4,0.157,72,7832.02,Current,Medium,0
L0000440,C000699,B0022,Personal Loan,2026-06-13,2026-06-13,233739,216208.58,0.229,12,21978.03,Current,Low,0
L0000441,C001886,B0001,Personal Loan,2025-02-28,2025-03-01,145879,102115.3,0.229,48,4667.65,Current,Low,0
L0000442,C001509,B0046,Personal Loan,2024-02-18,2024-02-24,171914,97131.41,0.229,60,4836.46,Current,Low,0
L0000443,C000576,B0060,Vehicle Finance,2025-06-28,2025-06-30,686346,552508.53,0.184,60,17578.37,Current,High,0
L0000444,C000234,B0050,Credit Facility,2026-05-03,2026-05-06,110962,94317.7,0.216,12,10364.07,Current,Medium,0
L0000445,C000374,B0051,Personal Loan,2026-05-30,2026-06-03,273978,253429.65,0.274,12,26360.16,Current,High,0
